avg_acc,epoch,task,task_num,test_acc,test_loss
,42.0,,3.0,0.93,0.20403153881430625
,42.0,,4.0,0.9175,0.29750416409224273
,42.0,,5.0,0.93,0.24016788698732852
,42.0,,6.0,0.9325,0.18558642104268075
,42.0,,7.0,0.93,0.20783220864832402
,42.0,,8.0,0.925,0.23511888206005097
,42.0,,9.0,0.93,0.19541273683309554
,42.0,,10.0,0.93,0.2001821044832468
,42.0,,11.0,0.9425,0.15817103236913682
,42.0,,12.0,0.9175,0.23479198195040227
,42.0,,13.0,0.9025,0.3090844322368503
,42.0,,14.0,0.8925,0.3856306242570281
92.33928571428571,,13.0,,,
,45.0,,1.0,0.9325,0.23689521364867688
,45.0,,2.0,0.925,0.2476995935291052
,45.0,,3.0,0.935,0.19793050080537797
,45.0,,4.0,0.915,0.3075901039689779
,45.0,,5.0,0.925,0.24773337155580522
,45.0,,6.0,0.9425,0.1797159595414996
,45.0,,7.0,0.9225,0.1972816849499941
,45.0,,8.0,0.925,0.23829184778034687
,45.0,,9.0,0.9275,0.197246817573905
,45.0,,10.0,0.9375,0.20320873714983465
,45.0,,11.0,0.95,0.1562738773226738
,45.0,,12.0,0.925,0.2622332409769297
,45.0,,13.0,0.9,0.2803924322500825
,45.0,,14.0,0.905,0.3570581863075495
,45.0,,15.0,0.8825,0.3424595920741558
92.33333333333333,,14.0,,,
,48.0,,1.0,0.9225,0.25160247899591925
,48.0,,2.0,0.9225,0.2514170000702143
,48.0,,3.0,0.9275,0.2151716360449791
,48.0,,4.0,0.9075,0.29189417999237777
,48.0,,5.0,0.925,0.2528427156060934
,48.0,,6.0,0.925,0.20251047257333993
,48.0,,7.0,0.9225,0.20124325286597014
,48.0,,8.0,0.905,0.2636697785556316
,48.0,,9.0,0.915,0.21170198932290077
,48.0,,10.0,0.9225,0.21717877939343452
,48.0,,11.0,0.9425,0.16411057017743588
,48.0,,12.0,0.925,0.23838991455733777
,48.0,,13.0,0.91,0.2851036688685417
,48.0,,14.0,0.9,0.3598473804071546
,48.0,,15.0,0.8925,0.30910748839378355
,48.0,,16.0,0.86,0.39979623109102247
91.40625000000001,,15.0,,,
